name                                                       , wins, total, proportion         , score errors, winner errors, event errors, country errors
general                                                    , 8306, 10572,                    ,           74,             3,            9,              1
Iron Panthers                                              ,   40,    50, 0.8                ,            0,             0,            0
WarriorBorgs                                               ,   43,    52, 0.8269230769230769 ,            0,             0,            0
CircuitRunners Robotics                                    ,   43,    55, 0.7818181818181819 ,            0,             0,            0
Miss Daisy                                                 ,   44,    51, 0.8627450980392157 ,            0,             0,            0
Krypton Cougars                                            ,   39,    52, 0.75               ,            0,             0,            0
RoboWhales                                                 ,   47,    53, 0.8867924528301887 ,            1,             0,            0
Aces High                                                  ,   14,    17, 0.8235294117647058 ,            0,             0,            0
Team Rembrandts                                            ,    0,     0, 0                  ,            0,             0,            1
Hilltopper Robotics                                        ,   49,    54, 0.9074074074074074 ,            2,             0,            0
The Revolution                                             ,   38,    50, 0.76               ,            0,             0,            0
CC Shambots                                                ,   41,    51, 0.803921568627451  ,            0,             0,            0
Red Thunder Robotics                                       ,   51,    58, 0.8793103448275862 ,            1,             0,            0
Team DAVE                                                  ,   38,    47, 0.8085106382978723 ,            0,             0,            0
The Aluminum Narwhals                                      ,   38,    51, 0.7450980392156863 ,            1,             0,            0
TJ²                                                        ,   38,    51, 0.7450980392156863 ,            1,             0,            0
BraveBots                                                  ,   38,    51, 0.7450980392156863 ,            0,             0,            0
Space Cookies                                              ,   35,    46, 0.7608695652173914 ,            0,             0,            0
Gear Heads                                                 ,   39,    46, 0.8478260869565217 ,            0,             0,            0
BCR Blackout                                               ,   42,    53, 0.7924528301886793 ,            0,             0,            0
TEAM  R. I. C. E.                                          ,   26,    27, 0.9629629629629629 ,            0,             0,            0
Killer Bees                                                ,   38,    51, 0.7450980392156863 ,            0,             0,            0
Celt-X                                                     ,   37,    50, 0.74               ,            0,             0,            0
RoboJackets                                                ,   42,    57, 0.7368421052631579 ,            0,             0,            0
Sisters 1st                                                ,   28,    33, 0.8484848484848485 ,            0,             0,            0
The S.S. Prometheus                                        ,    9,    10, 0.9                ,            0,             0,            0
Gear It Forward                                            ,   10,    15, 0.6666666666666666 ,            0,             0,            0
TigerBots                                                  ,   16,    17, 0.9411764705882353 ,            0,             0,            0
Gems                                                       ,   45,    52, 0.8653846153846154 ,            0,             0,            0
Ironclad                                                   ,   13,    16, 0.8125             ,            0,             0,            0
Team Appreciate                                            ,   55,    66, 0.8333333333333334 ,            2,             1,            0
The HOT Team                                               ,   40,    53, 0.7547169811320755 ,            0,             0,            0
NACI Robotics                                              ,   40,    48, 0.8333333333333334 ,            0,             0,            0
Robowranglers                                              ,   50,    66, 0.7575757575757576 ,            1,             0,            0
PrepaTec - ROULT - Peñoles                                 ,   16,    17, 0.9411764705882353 ,            0,             0,            0
Iron Claw                                                  ,   41,    49, 0.8367346938775511 ,            0,             0,            0
Regal Seagulls                                             ,   23,    31, 0.7419354838709677 ,            0,             0,            0
Steel Falcons                                              ,   41,    49, 0.8367346938775511 ,            0,             0,            0
Paragon Robotics                                           ,   15,    17, 0.8823529411764706 ,            0,             0,            0
Elev8                                                      ,    0,     0, 0                  ,            0,             0,            1
The Force Team                                             ,   18,    23, 0.782608695652174  ,            0,             0,            0
Robocubs                                                   ,   43,    58, 0.7413793103448276 ,            0,             0,            0
WildStang                                                  ,   12,    16, 0.75               ,            0,             0,            0
Cyber Tribe                                                ,   13,    16, 0.8125             ,            0,             0,            0
Orbit Robotics                                             ,   39,    51, 0.7647058823529411 ,            0,             0,            0
Rangers                                                    ,   50,    65, 0.7692307692307693 ,            0,             0,            0
FireHawks                                                  ,   37,    48, 0.7708333333333334 ,            0,             0,            0
Team Paradox                                               ,   38,    48, 0.7916666666666666 ,            0,             0,            0
Roboforce                                                  ,   25,    30, 0.8333333333333334 ,            0,             0,            0
Wildcard Robotics                                          ,   12,    14, 0.8571428571428571 ,            1,             0,            0
Warren Warbots                                             ,   38,    47, 0.8085106382978723 ,            0,             0,            0
Beach Cities Robotics                                      ,   34,    49, 0.6938775510204082 ,            0,             0,            0
Robocats                                                   ,   13,    17, 0.7647058823529411 ,            0,             0,            0
EngiNERDs                                                  ,   48,    56, 0.8571428571428571 ,            0,             0,            0
Storm Surge                                                ,   31,    45, 0.6888888888888889 ,            0,             0,            0
BadgerBOTS                                                 ,   44,    51, 0.8627450980392157 ,            1,             0,            0
Engineers of Tomorrow                                      ,    0,     0, 0                  ,            0,             0,            1
