Team number, Team name                                                  , Epa   , Auto EPA, Teleop EPA, Energized, Supercharged, Transition, First Shift, Second Shift, Endgame, Win Rate, Wins, Losses
       2200, BCR Blackout                                               , 191.36,    55.31,     102.79,    0.4856, 0.1843      , 20.57     ,       48.15,        34.07,   34.84,   0.6567,   44,     23
        870, TEAM  R. I. C. E.                                          , 193.3 ,    48.52,      98.55,    0.5385, 0.1565      , 10.01     ,       45.1 ,        43.44,   46.71,   0.7317,   30,     11
         33, Killer Bees                                                , 185.68,    28.97,      97.76,    0.5392, 0.2409      , 5.71      ,       46.61,        45.44,   58.99,   0.7097,   44,     18
       5406, Celt-X                                                     , 196.46,    34.64,     119.86,    0.5549, 0.2904      , 17.99     ,       48.17,        53.71,   42.27,   0.75  ,   45,     15
       3538, RoboJackets                                                , 200.29,    39.16,     115.04,    0.522 , 0.3566      , 16.82     ,       52.95,        45.28,   46.85,   0.7571,   53,     17
       8513, Sisters 1st                                                , 210.26,    53.24,     113.57,    0.5976, 0.4002      , 19.84     ,       56.33,        37.4 ,   43.17,   0.7937,   50,     13
       2992, The S.S. Prometheus                                        , 181.33,    36.63,      98.7 ,    0.4748, 0.0865      , 11.99     ,       37.94,        48.77,   46.29,   0.6383,   30,     17
       2338, Gear It Forward                                            , 160.5 ,    31.28,      86.1 ,    0.3187, 0.1204      , 10.52     ,       41.2 ,        34.38,   43.19,   0.6829,   28,     13
       9072, TigerBots                                                  , 185.99,    32.69,     103.28,    0.5101, 0.1757      , 11.79     ,       42.56,        48.94,   50.25,   0.7429,   52,     18
       4362, Gems                                                       , 161.53,    29.93,      99.6 ,    0.348 , 0.2708      , 6.98      ,       58.8 ,        33.82,   32.09,   0.7097,   44,     18
       5847, Ironclad                                                   , 149.26,    37.69,      77.16,    0.3507, -0.0218     , 10.38     ,       36.19,        30.58,   34.59,   0.7045,   31,     13
       2468, Team Appreciate                                            , 215.01,    41.89,     114.63,    0.8485, 0.1938      , 10.35     ,       57.66,        46.62,   58.15,   0.7846,   51,     14
         67, The HOT Team                                               , 202.98,    43.76,     111.54,    0.5023, 0.3493      , 14.77     ,       52.01,        44.75,   44.96,   0.7308,   47,     17
       2935, NACI Robotics                                              , 170.04,    31.34,      93.43,    0.5774, 0.1187      , 10.01     ,       44.32,        39.1 ,   45.7 ,   0.6042,   29,     19
        148, Robowranglers                                              , 182.92,    31.04,      99.8 ,    0.5449, 0.1389      , 7.23      ,       51.24,        41.33,   52.28,   0.7879,   52,     14
       4403, PrepaTec - ROULT - Peñoles                                 , 152.37,    32.8 ,      86.31,    0.3804, -0.0784     , 10.34     ,       37.43,        38.54,   33.67,   0.7143,   30,     12
        972, Iron Claw                                                  , 136.59,    21.37,      73.3 ,    0.2565, 0.2675      , 4.07      ,       29.87,        39.36,   42.04,   0.7   ,   42,     18
